round,train_auc,val_auc,train_loss,val_loss
0,0.9930539207390494,0.9876360142852001,0.6487306842325007,0.648750443302783
1,0.9951558096095645,0.9914085209836299,0.6091043932835065,0.6091403036416501
2,0.9965648593043647,0.9930043056238738,0.5730413385384708,0.5728179613515263
3,0.9969500258973368,0.9930393917119659,0.5390377502904956,0.5388370961878319
4,0.9968632040336087,0.993979900569275,0.5104990379718717,0.5104410916870387
5,0.9972255975137888,0.9943190936416568,0.4818061845865277,0.4816856921746058
6,0.9973058495508889,0.9944191648355413,0.45567460477749827,0.45555109073706695
7,0.9974423885946636,0.9946854620031429,0.43110838666097806,0.43094287134223974
8,0.9975927790021784,0.9949382335230498,0.4087373884424726,0.40852221446158865
9,0.9979648637095486,0.9960659811555675,0.38864528332542086,0.3884394715915861
10,0.9979811813410508,0.9962287332387156,0.36954719270380665,0.36907130890638207
11,0.9981424928642629,0.9965558699889201,0.3509742619326623,0.3504570146777532
12,0.9981896712965315,0.9966878282330613,0.33388972720465115,0.333370916320649
13,0.9983273430839565,0.9968265895990072,0.317411219037649,0.31691631834748263
14,0.9983758669400411,0.9968282180497915,0.302175060844081,0.30166291415220364
15,0.9983987908545376,0.9968445728207398,0.2883240525145662,0.28777742964171904
16,0.9984054110926395,0.9968769289805499,0.27532108297627866,0.27480405300596533
17,0.9985253532945824,0.9970920704746548,0.2635504474172275,0.2630064612027278
18,0.998573536710951,0.9972223362045924,0.2516784363035981,0.2511080128525643
19,0.9985862333706776,0.9972153160937873,0.24065929657086735,0.24004283788546177
20,0.9986020888609447,0.9972108915847401,0.23022842296379648,0.22965949362418922
21,0.9986453613776144,0.9971852104198962,0.22047981909013684,0.21976296785947885
22,0.9986735279771956,0.9971963533217097,0.21095122375247735,0.2102124782335166
23,0.9986833050986134,0.9971781179794242,0.20232595726137126,0.20157278111413438
24,0.9986934963297335,0.9972042475882024,0.19402864686815763,0.1932683257781762
25,0.9987114574185497,0.9971535630908207,0.18622629955156464,0.1854562338526516
26,0.9987383549687793,0.9971335649712267,0.17896615680438682,0.1782671173965918
27,0.9987994107277786,0.9971267721822317,0.17191558683772076,0.1712340788839706
28,0.9988206232484687,0.9971366606809665,0.16523414194973268,0.16457540720014618
29,0.9988479598977791,0.9971041949933752,0.15926571184595698,0.1584946095095583
30,0.9988945641152358,0.9971084831093365,0.15323219543594474,0.152496840646362
31,0.9989109773770872,0.9971572312382093,0.14742492971315968,0.1467339284379219
32,0.9989320334707581,0.9971461193348243,0.14219801538912652,0.141510585986965
33,0.9989566207475281,0.9971226183927945,0.13705764784242389,0.13643013630271397
34,0.9989786115088658,0.997078154246759,0.13255603072469582,0.1320090869564505
35,0.9990089526171008,0.9971256521056769,0.12778555692465574,0.12727925597244033
36,0.9990505038956633,0.9971965827100817,0.12316806070830034,0.12267440910884553
37,0.9990631926583138,0.997209050278079,0.11887313285934473,0.11835926209799097
38,0.9990955171226832,0.9972462711246232,0.11466961247923857,0.11416601158570547
39,0.9991201575154051,0.9974028545204727,0.11084147432455063,0.11041133979184414
40,0.9991468208578224,0.9974200689811752,0.10695934765060279,0.1065427460396846
41,0.9991520006908337,0.9974316995915994,0.1037073944001056,0.1032720427725743
42,0.9991744004774545,0.9974655085444317,0.10027175113712562,0.09986023878141943
43,0.9991953954499181,0.9974423506516787,0.0971660032936852,0.096803535986561
44,0.999216920283751,0.997495043847236,0.0941511485266871,0.09392344413937984
45,0.9992301359869343,0.9975147175166102,0.0914324295330706,0.09117633252768256
46,0.9992469977594508,0.997528017909057,0.08875657923419451,0.08866800990816269
47,0.9992617891998139,0.9975141182136567,0.08598822147480441,0.08594511631135983
48,0.9992777290698008,0.997505269195562,0.08349541191988744,0.08351786338349768
49,0.9992959632027363,0.9975541144528446,0.08122201531712654,0.08121039220798627
50,0.9993102761668159,0.9975936684477841,0.07893049133447046,0.07891914427334093
51,0.9993200832538521,0.997596191719875,0.07681389220143277,0.07684047576418016
52,0.999331514975034,0.9975876361535715,0.07467394797266119,0.07474531361911081
53,0.9993473030697043,0.9975917052139704,0.07265076225667141,0.07274735536459805
54,0.9993628167139266,0.9976306785050134,0.07075792962120461,0.0708483447884774
55,0.9993791136832153,0.9976523732719347,0.06881984596159259,0.06889938476020416
56,0.9993881523739048,0.9977193691424646,0.06716737903872534,0.06726088005860718
57,0.9993972913466459,0.9977783860174636,0.06567447812865197,0.06572085444028683
58,0.9994077085639647,0.9977952326301462,0.06404966534463487,0.06404799300764112
59,0.9994266616553854,0.9978334102948543,0.06236383776795924,0.06238804954800765
60,0.9994405182117235,0.9978360554940978,0.06072490358039756,0.06077186138212428
61,0.999452765387173,0.997840370475364,0.05928980917326186,0.05940535043603114
62,0.9994756553334233,0.9978339765328174,0.05763506283521452,0.05782030794716893
63,0.9994851236034304,0.9978939295603612,0.05629918828775839,0.05646751264946229
64,0.9994940013235772,0.9979233863338128,0.05514434449650082,0.05528427312293642
65,0.9995049437505629,0.9979887950847965,0.05401554450130139,0.05419463327596771
66,0.9995243352919898,0.9979972204576998,0.05264709275343834,0.05293227540839078
67,0.999534394003678,0.9980354807848841,0.05148757935895164,0.05176825147421048
68,0.9995513655780095,0.9980502443031625,0.05023422774522866,0.05040570131995916
69,0.9995565167435518,0.9980546708787718,0.04928894101654697,0.04947035030601105
